# r(kpc)                A2_0                    zh2                    phase2   A4_0                    zh4                    phase4   A6_0                     zh6                    phase6  
  0.97                  0.023993838968730658    0.4865                 0.0      0.0015890749472892048   0.4615                 0.0      2.2610114562399218E-4    0.4865                 0.0     
  0.98                  0.02410299927287637     0.491                  0.0      0.0016258047773075916   0.466                  0.0      2.3466990844410338E-4    0.491                  0.0     
  0.99                  0.024210548780989       0.4955                 0.0      0.0016628359153218668   0.47050000000000003    0.0      2.4343465160066825E-4    0.4955                 0.0     
  1.0                   0.024316502295010322    0.5                    0.0      0.0017001615179456464   0.47500000000000003    0.0      2.5239586901453534E-4    0.5                    0.0     
  1.01                  0.02442087440319144     0.5045000000000001     0.0      0.001737774690224977    0.47950000000000004    0.0      2.615539610944136E-4     0.5045000000000001     0.0     
  1.02                  0.0245236794858755      0.509                  0.0      0.0017756684888210767   0.48400000000000004    0.0      2.709092345266018E-4     0.509                  0.0     
  1.03                  0.02462493172105552     0.5135000000000001     0.0      0.0018138359251385077   0.48850000000000005    0.0      2.8046190213465574E-4    0.5135000000000001     0.0     
  1.04                  0.024724645089718472    0.518                  0.0      0.0018522699683992476   0.49300000000000005    0.0      2.9021208280782476E-4    0.518                  0.0     
  1.05                  0.02482283338098572     0.5225000000000001     0.0      0.0018909635486630454   0.49750000000000005    0.0      3.0015980149704103E-4    0.5225000000000001     0.0     
  1.06                  0.02491951019705979     0.527                  0.0      0.0019299095597945539   0.502                  0.0      3.103049892772439E-4     0.527                  0.0     
  1.07                  0.02501468895798652     0.5315000000000001     0.0      0.0019691008623776815   0.5065000000000001     0.0      3.2064748347478177E-4    0.5315000000000001     0.0     
  1.08                  0.025108382906241334    0.536                  0.0      0.0020085302865775834   0.511                  0.0      3.311870278586112E-4     0.536                  0.0     
  1.09                  0.025200605111147894    0.5405000000000001     0.0      0.002048190634950807    0.5155000000000001     0.0      3.4192327289400974E-4    0.5405000000000001     0.0     
